Speaker,File,Seg,Code,Position,Prev.Seg,Long.Short,Duration,Word,Duration_in_ms
DOG,LA_1226d1u1,s,#V,Final,a:,long,0.087418714,spás,87.418714
DOG,LA_1226d1u1,s,#V,Final,a:,long,0.110460948,bás,110.460948
DOG,LA_1226d1u1,d,#C,Final,e:,long,0.104375739,chéad,104.375739
DOG,LA_1226d1u1,d,#C,Final,uu,short,0.113824761,troid,113.824761
DOG,LA_1226d1u1,d,#C,Final,uu,short,0.113824761,troid,113.824761
DOG,LA_1226d1u1,d,#V,Final,uu,short,0.104116191,troid,104.116191
DOG,LA_1226d1u1,d,#V,Final,E,short,0.120132806,chéad,120.132806
DOG,LA_1226d1u1,g,#C,Final,o:,long,0.087491416,Thóg,87.491416
DOG,LA_1226d1u1,g,#V,Final,E,short,0.087635256,beag,87.635256
DOG,LA_1226d1u1,g,#V,Final,uu,short,0.107464775,thug,107.464775
DOG,LA_1226d1u1,l,#C,Final,a:,long,0.036541413,fáil,36.541413
DOG,LA_1226d1u1,l,#V,Final,uu,short,0.035178546,Bhfuil,35.178546
DOG,LA_1226d1u1,l,#V,Final,a,short,0.06029734,faill,60.29734
DOG,LA_1226d1u1,l,#P,Final,i:,long,0.09426573,dhíol,94.26573
DOG,LA_1226d1u1,n,#C,Final,a,short,0.154000008,gleann,154.000008
DOG,LA_1226d1u1,n,#C,Final,a,short,0.094155294,ghleann,94.155294
DOG,LA_1226d1u1,n,#C,Final,ee,short,0.075839243,ceann,75.839243
DOG,LA_1226d1u1,n,#V,Final,a,short,0.05244472,bhean,52.44472
DOG,LA_1226d1u1,n,#V,Final,a,short,0.039073,bhean,39.073
DOG,LA_1226d1u1,n,#V,Final,a,short,0.026640188,bhean,26.640188
DOG,LA_1226d1u1,n,#P,Final,a,short,0.057313509,bean,57.313509
DOG,LA_1227d1u1,k,#V,Final,E,short,0.141501102,beag,141.501102
DOG,LA_1227d1u1,s,#V,Final,a:,long,0.201619449,fás,201.619449
DOG,LA_1227d1u1,d,#V,Final,a:,long,0.095447783,bhfad,95.447783
DOG,LA_1227d1u1,d,#V,Final,uu,short,0.137126188,chuid,137.126188
DOG,LA_1227d1u1,d,#V,Final,oo,short,0.087414818,troid,87.414818
DOG,LA_1227d1u1,d,#V,Final,a,short,0.072232352,bhfad,72.232352
DOG,LA_1227d1u1,d,#P,Final,a,short,0.15689003,bhfad,156.89003
DOG,LA_1227d1u1,g,#V,Final,a:,long,0.041217635,ghrág,41.217635
DOG,LA_1227d1u1,g,#P,Final,a,short,0.227825,flag,227.825
DOG,LA_1227d1u1,l,#V,Final,e:,long,0.052066407,scéal,52.066407
DOG,LA_1227d1u1,l,#V,Final,oo,short,0.050697073,goil,50.697073
DOG,LA_1227d1u1,l,#P,Final,a,short,0.119776,thall,119.776
DOG,LA_1227d1u1,n,#C,Final,i:,long,0.087712524,mbíonn,87.712524
DOG,LA_1227d1u1,n,#C,Final,E,short,0.129630189,ceann,129.630189
DOG,LA_1227d1u1,n,#V,Final,ii,short,0.056328,shin,56.328
DOG,LA_1227d1u1,n,#V,Final,ee,short,0.113040324,cheann,113.040324
DOG,LA_1227d1u1,n,#V,Final,ee,short,0.068231005,cheann,68.231005
DOG,LA_1227d1u1,n,#P,Final,a,short,0.14731832,ann,147.31832
DOG,LA_1227d1u1,n,#P,Final,E,short,0.155858231,cheann,155.858231
SOC,LA_1228d1u1,d,#C,Final,uu,short,0.130771494,gcuid,130.771494
SOC,LA_1228d1u1,d,#C,Final,a,short,0.120224,fhad,120.224
SOC,LA_1228d1u1,m,#V,Final,a,short,0.060079,am,60.079
SOC,LA_1228d2u1,d,#C,Final,e:,long,0.073854,Shéid,73.854
SOC,LA_1228d2u1,l,#C,Final,a:,long,0.071206,fháil,71.206
SOC,LA_1228d2u1,l,#C,Final,a:,long,0.053952,fháil,53.952
SOC,LA_1228d2u1,l,#C,Final,u:,long,0.061908,ndúil,61.908
SOC,LA_1228d2u1,l,#V,Final,a,short,0.049635124,mBaile,49.635124
SOC,LA_1228d2u1,l,#V,Final,ii,short,0.080529,Phill,80.529
SOC,LA_1228d2u1,l,#V,Final,oo,short,0.026361,goil,26.361
SOC,LA_1228d2u1,l,#P,Final,oo,short,0.035342,goil,35.342
SOC,LA_1228d2u1,n,#C,Final,a:,long,0.099394,ndán,99.394
SOC,LA_1228d2u1,n,#C,Final,oo,short,0.040208,don,40.208
SOC,LA_1228d2u1,n,#V,Final,o:,long,0.064639229,tóin,64.639229
SOC,LA_1228d2u1,n,#V,Final,a,short,0.046609715,gan,46.609715
SOC,LA_1229d1u1,k,#C,Final,a,short,0.074513,Ghlac,74.513
SOC,LA_1229d1u1,k,#V,Final,a,short,0.195512813,mac,195.512813
SOC,LA_1229d1u1,k,#V,Final,a,short,0.257233163,mac,257.233163
SOC,LA_1229d1u1,s,#V,Final,ii,short,0.089332,leis,89.332
SOC,LA_1229d1u1,ss,#P,Final,oo,short,0.060225,gcois,60.225
SOC,LA_1229d1u1,g,#C,Final,uu,short,0.059936804,thug,59.936804
SOC,LA_1229d1u1,g,#C,Final,E,short,0.13735651,chreag,137.35651
SOC,LA_1229d1u1,g,#C,Final,uu,short,0.063543341,thug,63.543341
SOC,LA_1229d1u1,g,#V,Final,a:,long,0.075455,fhág,75.455
SOC,LA_1229d1u1,g,#V,Final,E,short,0.101216,chreag,101.216
SOC,LA_1229d1u1,g,#V,Final,uu,short,0.062216,thug,62.216
SOC,LA_1229d1u1,g,#V,Final,uu,short,0.103319,thug,103.319
SOC,LA_1229d1u1,g,#V,Final,a,short,0.063478,chuig,63.478
SOC,LA_1229d1u1,l,#C,Final,a:,long,0.049987,bál,49.987
SOC,LA_1229d1u1,l,#C,Final,e:,long,0.070862,scéal,70.862
SOC,LA_1229d1u1,l,#V,Final,oo,short,0.058946,goil,58.946
SOC,LA_1229d1u1,l,#V,Final,e:,long,0.055725,scéal,55.725
